"cluster","genes","expressions"
"COVID","Cytotoxicity",0.189952396057454
"COVID","Cytotoxicity",0.0409221887947812
"COVID","Cytotoxicity",0.389878900215782
"COVID","Cytotoxicity",0.314587114885776
"COVID","Cytotoxicity",0.158773987809013
"COVID","Cytotoxicity",0.273131617463114
"COVID","Cytotoxicity",0.437901149342655
"COVID","Cytotoxicity",0.300236263711106
"COVID","Cytotoxicity",0.353662654677883
"COVID","Cytotoxicity",0.319590612557412
"COVID","Cytotoxicity",0.363938769122583
"COVID","Cytotoxicity",0.420725506609504
"COVID","Cytotoxicity",0.410346294204378
"COVID","Cytotoxicity",0.445430932036046
"COVID","Cytotoxicity",0.288384668670081
"COVID","Cytotoxicity",0.578839392497787
"COVID","Cytotoxicity",0.587880905486561
"COVID","Cytotoxicity",0.502348610090061
"COVID","Cytotoxicity",0.393991616237329
"COVID","Cytotoxicity",0.368823510017302
"COVID","Cytotoxicity",0.361668724706617
"COVID","Cytotoxicity",0.0270797670263227
"COVID","Cytotoxicity",0.734168086053185
"COVID","Cytotoxicity",0.765256486980006
"COVID","Cytotoxicity",0.767212938667158
"COVID","Cytotoxicity",0.712670134573187
"COVID","Cytotoxicity",0.531638508939782
"COVID","Cytotoxicity",0.731191210544891
"COVID","Cytotoxicity",0.734076017738495
"COVID","Cytotoxicity",0.746789117525204
"COVID","Cytotoxicity",0.745707314827602
"COVID","Cytotoxicity",0.743635777747088
"COVID","Cytotoxicity",0.708388957940125
"COVID","Cytotoxicity",0.733569642007703
"COVID","Cytotoxicity",0.796506007457533
"COVID","Cytotoxicity",0.541545827003637
"COVID","Cytotoxicity",0.500461576138123
"COVID","Cytotoxicity",0.757914038883518
"COVID","Cytotoxicity",0.66111396371822
"COVID","Cytotoxicity",0.715094600193343
"COVID","Cytotoxicity",0.843468520308736
"COVID","Cytotoxicity",0.554319334667453
"COVID","Cytotoxicity",0.773281775077107
"COVID","Cytotoxicity",0.787322193067256
"COVID","Cytotoxicity",0.811858398932008
"COVID","Cytotoxicity",0.816362073992236
"COVID","Cytotoxicity",0.778990010587856
"COVID","Cytotoxicity",0.733500590771686
"COVID","Cytotoxicity",0.733101628074698
"COVID","Cytotoxicity",0.744871027635839
"COVID","Cytotoxicity",0.53127850382841
"COVID","Cytotoxicity",0.750195645168715
"COVID","Cytotoxicity",0.748592122021206
"COVID","Cytotoxicity",0.733209041108503
"COVID","Cytotoxicity",0.579975159137736
"COVID","Cytotoxicity",0.634874036987621
"COVID","Cytotoxicity",0.798416424987341
"COVID","Cytotoxicity",0.878799736070831
"COVID","Cytotoxicity",0.777094937777164
"COVID","Cytotoxicity",0.690382785419878
"COVID","Cytotoxicity",0.803303718025442
"COVID","Cytotoxicity",0.729633721554727
"COVID","Cytotoxicity",0.811405729718118
"COVID","Cytotoxicity",0.741924841565775
"COVID","Cytotoxicity",0.780363362948641
"COVID","Cytotoxicity",0.744556460893983
"COVID","Cytotoxicity",0.817052586352407
"COVID","Cytotoxicity",0.741779066734183
"COVID","Cytotoxicity",0.776749681597078
"COVID","Cytotoxicity",0.776174254630269
"COVID","Cytotoxicity",0.749574184044561
"COVID","Cytotoxicity",0.718079148061195
"COVID","Cytotoxicity",0.720726112108518
"COVID","Cytotoxicity",0.638000682366891
"COVID","Cytotoxicity",0.773358498672682
"COVID","Cytotoxicity",0.730278199757553
"COVID","Cytotoxicity",0.752389940002148
"COVID","Cytotoxicity",0.762202887876137
"COVID","Cytotoxicity",0.751492273933926
"COVID","Cytotoxicity",0.715355460418297
"COVID","Cytotoxicity",0.740121837069772
"COVID","Cytotoxicity",0.751730117080207
"COVID","Cytotoxicity",0.474690860667091
"COVID","Cytotoxicity",0.73699151437033
"COVID","Cytotoxicity",0.831990670410778
"COVID","Cytotoxicity",0.802636222743943
"COVID","Cytotoxicity",0.709616535469318
"COVID","Cytotoxicity",0.78749098497752
"COVID","Cytotoxicity",0.721470330985591
"COVID","Cytotoxicity",0.764834507204346
"COVID","Cytotoxicity",0.773926253279934
"COVID","Cytotoxicity",0.75169175528242
"COVID","Cytotoxicity",0.841918703678129
"COVID","Cytotoxicity",0.722897389863279
"COVID","Cytotoxicity",0.724639015482822
"COVID","Cytotoxicity",0.748676517976338
"COVID","Cytotoxicity",0.747287820896438
"COVID","Cytotoxicity",0.779174147217235
"COVID","Cytotoxicity",0.82975034142
"COVID","Cytotoxicity",0.741978548082677
"COVID","Cytotoxicity",0.749083153032884
"COVID","Cytotoxicity",0.723066181773543
"COVID","Cytotoxicity",0.386214395422678
"COVID","Cytotoxicity",0.330705857368462
"COVID","Cytotoxicity",0.831185072657245
"COVID","Cytotoxicity",0.6140254031438
"COVID","Cytotoxicity",0.74384293145514
"COVID","Cytotoxicity",0.710966870751431
"COVID","Cytotoxicity",0.771026101367214
"COVID","Cytotoxicity",0.740006751676411
"COVID","Cytotoxicity",0.758550844726787
"COVID","Cytotoxicity",0.730324233914898
"COVID","Cytotoxicity",0.751139345394283
"COVID","Cytotoxicity",0.727032791664749
"COVID","Cytotoxicity",0.753157175957894
"COVID","Cytotoxicity",0.724270742224064
"COVID","Cytotoxicity",0.745530850557781
"COVID","Cytotoxicity",0.763768049225859
"COVID","Cytotoxicity",0.733692399760622
"COVID","Cytotoxicity",0.478058840445953
"COVID","Cytotoxicity",0.773596341818963
"COVID","Cytotoxicity",0.785734014638862
"COVID","Cytotoxicity",0.807362396231337
"COVID","Cytotoxicity",0.732848440209302
"COVID","Cytotoxicity",0.700210222651874
"COVID","Cytotoxicity",0.702926237935215
"COVID","Cytotoxicity",0.791258113520232
"COVID","Cytotoxicity",0.172522345136841
"COVID","Cytotoxicity",0.338243393233584
"COVID","Cytotoxicity",0.237095093617465
"COVID","Cytotoxicity",0.21183614368161
"COVID","Cytotoxicity",0.216952844126543
"COVID","Cytotoxicity",0.245993510704767
"COVID","Cytotoxicity",0.316802266453483
"COVID","Cytotoxicity",0.325353527170397
"COVID","Cytotoxicity",0.218288919702375
"COVID","Cytotoxicity",0.23000396913484
"COVID","Cytotoxicity",0.101337578904586
"COVID","Cytotoxicity",0.315898736438535
"COVID","Cytotoxicity",0.31777266280264
"COVID","Cytotoxicity",0.301982703377272
"COVID","Cytotoxicity",0.404065150620501
"COVID","Cytotoxicity",0.193376132304571
"COVID","Cytotoxicity",0.0987469038921134
"COVID","Cytotoxicity",0.260527758953379
"COVID","Cytotoxicity",0.192228425998948
"COVID","Cytotoxicity",0.198155434391572
"COVID","Cytotoxicity",0.143858409329266
"COVID","Cytotoxicity",0.220234829645499
"COVID","Cytotoxicity",0.0756667049440945
"COVID","Cytotoxicity",0.262155531435146
"COVID","Cytotoxicity",0.226212190767694
"COVID","Cytotoxicity",0.135823191046371
"COVID","Cytotoxicity",0.100792530600103
"COVID","Cytotoxicity",0.272913593579456
"COVID","Cytotoxicity",0.18835456734372
"COVID","Cytotoxicity",0.252379475456618
"COVID","Cytotoxicity",0.306959285395821
"COVID","Cytotoxicity",0.340592894921108
"COVID","Cytotoxicity",0.221029229641472
"COVID","Cytotoxicity",0.079810010976002
"COVID","Cytotoxicity",0.396934461104514
"COVID","Cytotoxicity",0.197508881471836
"COVID","Cytotoxicity",0.134550804538196
"COVID","Cytotoxicity",0.349830383681982
"COVID","Cytotoxicity",0.30539274676312
"COVID","Cytotoxicity",0.189818043886014
"COVID","Helper",0.229253456503085
"COVID","Helper",0.274247957636161
"COVID","Helper",0.368209046492307
"COVID","Helper",0.11542211937995
"COVID","Helper",0.502178116160235
"COVID","Helper",0.450362266925268
"COVID","Helper",0.197149668301581
"COVID","Helper",0.235638447432462
"COVID","Helper",0.329245737772896
"COVID","Helper",0.229917826464517
"COVID","Helper",0.321129378744661
"COVID","Helper",0.261976397589155
"COVID","Helper",0.265544554570266
