"score_type","score","cell_type"
"Cytotoxicity",0.21212293625302,"CD4 Tfh"
"Cytotoxicity",0.172472515861003,"CD4 Tfh"
"Cytotoxicity",0.199552158662461,"CD4 Tfh"
"Cytotoxicity",0.167482149470514,"CD4 Tfh"
"Cytotoxicity",0.225373435330569,"CD4 Tfh"
"Cytotoxicity",0.217188395560499,"CD4 Tfh"
"Cytotoxicity",0.210238337283064,"CD4 Tfh"
"Cytotoxicity",0.257622982568307,"CD4 Tfh"
"Cytotoxicity",0.220665596691533,"CD4 Tfh"
"Cytotoxicity",0.11521349347697,"CD4 Tfh"
"Cytotoxicity",0.193113997415082,"CD4 Tfh"
"Cytotoxicity",0.209403134835587,"CD4 Tfh"
"Cytotoxicity",0.177039778502166,"CD4 Tfh"
"Cytotoxicity",0.168361433584641,"CD4 Tfh"
"Cytotoxicity",0.162141148305596,"CD4 Tfh"
"Cytotoxicity",0.0929021596726228,"CD4 Tfh"
"Cytotoxicity",0.170639331907984,"CD4 Tfh"
"Cytotoxicity",0.0861010184392213,"CD4 Tfh"
"Cytotoxicity",0.23326940077344,"CD4 Tfh"
"Cytotoxicity",0.172186351187347,"CD4 Tfr"
"Cytotoxicity",0.237703746858338,"CD4 Tfr"
"Cytotoxicity",0.0911853498881709,"CD4 Tfr"
"Cytotoxicity",0.23356397296731,"CD4 Tfr"
"Cytotoxicity",0.148834729962861,"CD4 Tfr"
"Cytotoxicity",0.192949746131843,"CD4 Tfr"
"Cytotoxicity",0.131596531415167,"CD4 Tfr"
"Cytotoxicity",0.195765945963393,"CD4 Tfr"
"Cytotoxicity",0.183253243865178,"CD4 Tfr"
"Cytotoxicity",0.252787316986663,"CD4 Tfr"
"Cytotoxicity",0.222716200412647,"CD4 Tfr"
"Cytotoxicity",0.138021516547472,"CD4 Tfr"
"Cytotoxicity",0.191135817670875,"CD4 Tfr"
"Cytotoxicity",0.165050482250505,"CD4 Tfr"
"Cytotoxicity",0.293251763360704,"CD4 Tfr"
"Cytotoxicity",0.210148572774229,"CD4 Tfr"
"Cytotoxicity",0.228065533769325,"CD4 Tfr"
"Cytotoxicity",0.238000568971658,"CD4 Tfr"
"Cytotoxicity",0.237355813538835,"CD4 Tfr"
"Cytotoxicity",0.0980081778368048,"CD4 Tfr"
"Cytotoxicity",0.265734543733569,"CD4 Tfr"
"Cytotoxicity",0.158490424666947,"CD4 Tfr"
"Cytotoxicity",0.171838379257553,"CD4 Tfr"
"Cytotoxicity",0.178898366620791,"CD4 Tfr"
"Cytotoxicity",0.295750711413139,"CD4 Tfr"
"Cytotoxicity",0.254235794505321,"CD4 Tfr"
"Cytotoxicity",0.139254022707709,"CD4 Tfr"
"Cytotoxicity",0.283365042072848,"CD4 Tfr"
"Cytotoxicity",0.170235925669475,"CD4 Tfr"
"Cytotoxicity",0.213926356552642,"CD4 Tfr"
"Cytotoxicity",0.171826086018067,"CD4 Tfr"
"Cytotoxicity",0.258407847229954,"CD4 Tfr"
"Cytotoxicity",0.232427221423891,"CD4 Tfr"
"Cytotoxicity",0.240727509007638,"CD4 Tfr"
"Cytotoxicity",0.236266373203258,"CD4 Tfr"
"Cytotoxicity",0.512603898401456,"CD4 Th1"
"Cytotoxicity",0.51502591897594,"CD4 Th1"
"Cytotoxicity",0.523955978260631,"CD4 Th1"
"Cytotoxicity",0.591439727541119,"CD4 Th1"
"Cytotoxicity",0.546955018957987,"CD4 Th1"
"Cytotoxicity",0.48660794932268,"CD4 Th1"
"Cytotoxicity",0.497561660953645,"CD4 Th1"
"Cytotoxicity",0.551926933115062,"CD4 Th1"
"Cytotoxicity",0.563579386782092,"CD4 Th1"
"Cytotoxicity",0.599467391162382,"CD4 Th1"
"Cytotoxicity",0.540088339767221,"CD4 Th1"
"Cytotoxicity",0.511242648172247,"CD4 Th1"
"Cytotoxicity",0.51847454482542,"CD4 Th1"
"Cytotoxicity",0.553057861489938,"CD4 Th1"
"Cytotoxicity",0.615687363015883,"CD4 Th1"
"Cytotoxicity",0.594519350951256,"CD4 Th1"
"Cytotoxicity",0.574759888774408,"CD4 Th1"
"Cytotoxicity",0.525309377257047,"CD4 Th1"
"Cytotoxicity",0.519747648094984,"CD4 Th1"
"Cytotoxicity",0.554266516624314,"CD4 Th1"
"Cytotoxicity",0.560772827810919,"CD4 Th1"
"Cytotoxicity",0.484358846820446,"CD4 Th1"
"Cytotoxicity",0.588029352358925,"CD4 Th1"
"Cytotoxicity",0.555004579988505,"CD4 Th1"
"Cytotoxicity",0.597841481213212,"CD4 Th1"
"Cytotoxicity",0.541024222046786,"CD4 Th1"
"Cytotoxicity",0.609557645452981,"CD4 Th1"
"Cytotoxicity",0.512817305140037,"CD4 Th1"
"Cytotoxicity",0.573647071798667,"CD4 Th1"
"Cytotoxicity",0.609702443340741,"CD4 Th1"
"Cytotoxicity",0.482445810286482,"CD4 Th1"
"Cytotoxicity",0.637085996038646,"CD4 Th1"
"Cytotoxicity",0.521096311585949,"CD4 Th1"
"Cytotoxicity",0.498809025602564,"CD4 Th1"
"Cytotoxicity",0.562523354726549,"CD4 Th1"
"Cytotoxicity",0.55029428942227,"CD4 Th1"
"Cytotoxicity",0.544501354923513,"CD4 Th1"
"Cytotoxicity",0.543107244827377,"CD4 Th1"
